"No","Questions","Answers"
"22","Tentang transkip nilai","Cara mendapatkan transkip nilai : 
1. Upload Transkip (.docx)
Unduh transkip nilai dari ecampus, lalu konversi ke format .docx. Upload transkip dengan format .docx ke folder https://bit.ly/uploadtranskip_MSIB5
2. Unduh transkip yang sudah ditandatangani dan stempel
Kalau sudah ditandatangani dan stempel, bisa diunduh di folder https://bit.ly/unduhtranskip_MSIB5"
"23","WhatsApp Group MSIB 5","Silahkan join ke grup MSIB 5 : https://chat.whatsapp.com/HHWli9IEFaX1gSTIH7gvxG"
"24","Materi sosialisasi MSIB 5","Silahkan kunjungi link berikut untuk informasi tersebut  : https://bit.ly/materiMSIB5"
"25","Maksimal ikut MBKM","Program kampus merdeka atau kesempatan mahasiswa belajar di luar adalah sebanyak 2 kali"
"26","Prosedur KKN dan MBKM","Prosedur KKN dan MBKM :
1. Jika sudah jelas akan mbkm di smtr depan, atau jelas kkn sdh dikonversi dr mbkm maka silakan pamit ke DPL untuk tidak lanjut kkn
2. Selama belum dinyatakan lulus msib atau mbkm di smtr 7 yg akan dikonversi kkn, maka ttp hrs ikuti semua alur kkn. Kalau nanti sudah lolos baru pamit dr KKN"
"27","Dosen Pembimbing","Menggunakan nama dosen wali."
"28","Konversi","Mahasiswa dapat mengisi usulan Mata Kuliah untuk konversi."
"29","Berapa banyak surat rekomendasi","Surat Rekomendasi cukup 1, untuk seluruh mitra"
"30","Tentang IPK","Jika jumlah beban SKS dan IPK belum sesuai bisa menggunakan data di semester sebelumnya"
"31","Beasiswa yang dimasukan ke SPTJM","Beasiswa dari Kemendikbudristek, KJMU dan KIP."
"32","Tanda tangan digital","Boleh menggunakan tanda tangan digital"
"33","Konversi KKN","Hanya bisa untuk mahasiswa semester 6 ke semester 7"
"34","Waktu tanda tangan administrasi","Sekitar 3 hari sampai 1 minggu"
"35","Pembatalan offering mitra setelah diterima","Tidak bisa dibatalkan ketika mahasiswa sudah menerima offering"
"36","Belum punya KTM","Bisa menggunakan surat rekomendasi atau surat keterangan mahasiswa aktif"
